route_short_name,route_type,trips,fail_5min,fail_10min,pct_fail_10min,worst_delay_min
43,100,49154,131,40,0.08,20
48,100,2634,17,11,0.42,24
40,100,29638,421,194,0.65,46
41,100,43803,894,570,1.3,84
19,401,104655,22,0,0,6.6
13,401,89796,12,0,0,8
17,401,75238,33,0,0,7.4
10,401,43285,22,0,0,9.6
11,401,39308,36,1,0,11
14,401,78650,34,0,0,6.3
18,401,86359,37,22,0.03,74.3
529,700,7486,8,0,0,7
538,700,4492,27,0,0,9.2
560,700,18726,54,0,0,8.2
480C,700,1745,24,0,0,8.3
538H,700,1415,0,0,0,4.1
921,700,2071,11,0,0,6.3
538V,700,1225,0,0,0,2.6
608,700,1710,39,0,0,9.6
657,700,6400,24,0,0,8.9
537,700,5759,101,0,0,9.8
212,700,14136,42,0,0,8.8
581,700,6678,14,0,0,6
623V,700,5714,14,0,0,6.7
826,700,1101,20,0,0,9.9
652,700,2436,26,0,0,7.4
602,700,12530,30,0,0,7.5
622X,700,1217,0,0,0,3.9
642,700,5803,0,0,0,3.4
660,700,7889,37,0,0,7
778,700,2696,3,0,0,5.3
634,700,16533,189,0,0,9.3
619,700,3643,19,0,0,9.6
211,700,3458,5,0,0,5.5
609,700,2651,0,0,0,4
583,700,5006,18,0,0,7.8
654,700,2321,4,0,0,5.3
516,700,3168,30,0,0,8
682,700,6049,26,0,0,9.5
659,700,1171,0,0,0,3.4
539,700,3271,13,0,0,7.3
646,700,1306,30,0,0,8.9
633,700,11689,46,0,0,9.7
628,700,5177,18,0,0,8.4
641,700,21761,327,0,0,9.2
156,700,2927,17,0,0,10
461,700,1132,9,0,0,8.1
658,700,4749,17,0,0,7.3
661,700,2926,0,0,0,4.2
662,700,1311,18,0,0,9.1
703,700,6272,43,0,0,7.4
630,700,3494,0,0,0,4.6
204,700,14529,110,0,0,8.8
562,700,11799,18,0,0,6.1
614,700,1986,0,0,0,2.7
631,700,9327,68,0,0,9.9
815C,700,1611,5,0,0,7.8
779,700,2201,46,0,0,9.5
576,700,1872,26,0,0,6.7
681,700,2018,1,0,0,5.2
643,700,4816,0,0,0,3.8
617,700,14652,0,0,0,4.8
670X,700,2952,18,0,0,7.6
969,700,2828,39,0,0,7.8
